Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,-0.5924805998028931,1,0,-0.5024451714361923,0.0
1,1,1,0.6387890120425208,1,0,0.7868452935884461,1.0
1,3,1,-0.2846631968415396,0,0,-0.4888542575852486,0.0
1,1,1,0.40792595982150565,1,0,0.4207302360686478,0.0
0,3,0,0.40792595982150565,0,0,-0.4863374216869257,0.0
0,3,0,0.0,0,0,-0.47811642890864375,2.0
0,1,0,1.8700586238879346,0,0,0.395813560675251,0.0
0,3,0,-2.1315676146096605,3,1,-0.22408312108167944,0.0
1,3,1,-0.20770884610120124,0,2,-0.4242561406845337,0.0
1,2,1,-1.2081154057256,1,0,-0.04295550208861426,1.0
1,3,1,-1.9776589131289837,1,1,-0.312172377522981,0.0
1,1,1,2.177876026849288,0,0,-0.11384570873513637,0.0
0,3,0,-0.7463893012835698,0,0,-0.4863374216869257,0.0
0,3,0,0.7157433627828591,1,5,-0.01870931177853076,0.0
0,3,1,-1.2081154057256,0,0,-0.4902797934380587,0.0
1,2,1,1.947012974628273,0,0,-0.3262666585535892,0.0
0,3,0,-2.1315676146096605,4,1,-0.06199888922968463,2.0
1,2,0,0.0,0,0,-0.3866707201133388,0.0
0,3,1,0.1001085568601522,1,0,-0.2859972841804228,0.0
1,3,1,0.0,0,0,-0.5029485386158568,1.0
0,2,0,0.40792595982150565,0,0,-0.12491978668775715,0.0
1,2,0,0.3309716090811673,0,0,-0.3866707201133388,0.0
1,3,1,-1.1311610549852615,0,0,-0.4867562231804066,2.0
1,1,0,-0.1307544953608629,0,0,0.06635974158478332,0.0
0,3,1,-1.6698415101676303,3,1,-0.22408312108167944,0.0
1,3,1,0.6387890120425208,1,5,-0.016444159470040135,0.0
0,3,0,0.0,0,0,-0.5029485386158568,1.0
0,1,0,-0.8233436520239081,3,2,4.647001076532463,0.0
1,3,1,0.0,0,0,-0.48977642625839407,2.0
0,3,0,0.0,0,0,-0.4894421904510968,0.0
0,1,0,0.7926977135231975,0,0,-0.09027201697708476,1.0
1,1,1,0.0,1,0,2.301728820789,1.0
1,3,1,0.0,0,0,-0.49237782784290063,2.0
0,2,0,2.793510832771995,0,0,-0.43700743807979686,0.0
0,1,0,-0.1307544953608629,1,0,1.0060617003323709,1.0
0,1,0,0.9466064150038742,1,0,0.39858208016340624,0.0
1,3,0,0.0,0,0,-0.5028639729296732,1.0
0,3,0,-0.6694349505432314,0,0,-0.4863374216869257,0.0
0,3,1,-0.9002980027642465,2,0,-0.2859972841804228,0.0
1,3,1,-1.2081154057256,1,0,-0.42207354059350805,1.0
0,3,1,0.7926977135231975,1,0,-0.4576454924460446,0.0
0,2,1,-0.20770884610120124,1,0,-0.22559322262067316,0.0
0,3,0,0.0,0,0,-0.4894421904510968,1.0
1,2,1,-2.054613263869322,1,2,0.18876253192945994,1.0
1,3,1,-0.8233436520239081,0,0,-0.48977642625839407,2.0
0,3,0,0.0,0,0,-0.4863374216869257,0.0
0,3,0,0.0,1,0,-0.3363340021468808,2.0
1,3,1,0.0,0,0,-0.49237782784290063,2.0
0,3,0,0.0,2,0,-0.21191774308354583,1.0
0,3,1,-0.9002980027642465,1,0,-0.29002422161773944,0.0
0,3,0,-1.7467958609079686,4,1,0.1506737441786005,0.0
0,3,0,-0.6694349505432314,0,0,-0.4913710934835715,0.0
1,1,1,1.4852868701862427,1,0,0.8964967865378598,1.0
1,2,1,-0.05380014462052453,1,0,-0.12491978668775715,0.0
0,1,0,2.7165564820316566,0,1,0.5995101505357573,1.0
1,1,0,0.0,0,0,0.06635974158478332,0.0
1,2,1,-0.6694349505432314,0,0,-0.43700743807979686,0.0
0,3,0,-0.0922773199906937,0,0,-0.5028639729296732,1.0
1,2,1,-1.9007045623886454,1,2,-0.08968408411123653,0.0
0,3,0,-1.4389784579466152,5,2,0.2958951755118318,0.0
0,3,0,-0.5924805998028931,0,0,-0.5028639729296732,1.0
1,1,1,0.6387890120425208,0,0,0.962353321387736,0.36220472440944884
0,1,0,1.1774694672248893,1,0,1.0323213593611125,0.0
0,3,0,-1.9776589131289837,3,2,-0.08666388103324908,0.0
0,1,0,0.0,0,0,-0.09027201697708476,1.0
1,3,0,0.0,1,1,-0.3414522396297103,1.0
1,2,1,-0.05380014462052453,0,0,-0.43700743807979686,0.0
0,3,0,-0.8233436520239081,0,0,-0.4841568350646187,0.0
1,3,1,-0.977252353504585,4,2,-0.4888542575852486,0.0
0,3,0,-0.2846631968415396,2,0,-0.47400492578514347,0.0
0,2,0,0.17706290760049057,0,0,-0.43700743807979686,0.0
0,3,1,-1.0542067042449232,5,2,0.2958951755118318,0.0
0,2,0,-0.6694349505432314,0,0,0.8314778546749452,0.0
0,3,0,-0.2846631968415396,1,0,-0.3573908580066095,1.0
1,3,0,0.17706290760049057,0,0,0.48910360681684706,0.0
0,3,0,-0.361617547581878,0,0,-0.494391296561559,0.0
0,3,0,0.0,0,0,-0.4894421904510968,0.0
0,3,0,0.0,0,0,-0.4863374216869257,0.0
1,2,0,-2.2216042049758564,0,2,-0.06451572512800753,0.0
1,3,1,0.02315420611981384,0,0,-0.397241430886295,0.0
0,3,0,-0.5924805998028931,0,0,-0.46720946885967163,0.0
1,3,0,-0.05380014462052453,0,0,-0.45714212526638004,0.0
